CASE_NUMBER,CASE_RECEIVED_DATE,DECISION_DATE,WORK_STATE,PAID_WAGE_PER_YEAR,JOB_TITLE_SUBGROUP,order
I-200-13051-066757,2/20/2013,2/26/2013,CA,78374,software engineer,64913
I-200-13078-744103,3/19/2013,3/25/2013,CA,78374,software engineer,64916
I-200-13086-710057,3/27/2013,4/2/2013,CA,78374,software engineer,64919
I-200-13088-119016,3/29/2013,5/2/2013,CA,78374,software engineer,64922
I-200-13158-043899,6/7/2013,6/13/2013,CA,78374,software engineer,64925
I-200-14028-224975,1/29/2014,2/4/2014,OH,78374,business analyst,64928
I-200-14141-113255,5/21/2014,5/28/2014,MD,78374,business analyst,64931
A-14212-94262,7/31/2014,12/23/2014,ARIZONA,78367,assistant professor,64934
I-200-13350-453775,1/28/2014,2/4/2014,OR,78360,software engineer,64937
I-200-14007-684640,1/20/2014,1/24/2014,OR,78360,software engineer,64940
I-200-14014-895800,2/8/2014,2/13/2014,OR,78360,software engineer,64943
I-200-14021-845728,1/29/2014,2/4/2014,OR,78360,software engineer,64946
I-200-14023-552457,1/27/2014,2/3/2014,OR,78360,software engineer,64949
I-200-14041-104120,2/25/2014,3/3/2014,OR,78360,software engineer,64952
I-200-14046-764045,2/27/2014,3/5/2014,OR,78360,software engineer,64955
I-200-14059-870663,3/10/2014,3/17/2014,OR,78360,software engineer,64958
I-200-14083-168871,3/24/2014,3/28/2014,NY,79000,software engineer,64961
I-200-13204-369081,7/24/2013,7/30/2013,TX,78344,software engineer,64964
I-200-14078-772931,3/19/2014,3/25/2014,TN,125000,software engineer,64967
I-200-13127-279778,5/7/2013,5/13/2013,VA,85000,business analyst,64970
I-200-13003-901472,1/3/2013,5/22/2013,MA,80000,software engineer,64973
I-200-13058-276508,2/27/2013,3/5/2013,VA,80000,business analyst,64976
I-200-13075-239335,3/19/2013,3/25/2013,DC,78400,business analyst,64979
I-200-13081-580325,3/25/2013,3/29/2013,NC,78333,business analyst,64982
I-200-12297-791301,10/23/2012,4/12/2013,VA,87360,business analyst,64985
I-200-13064-521347,3/13/2013,3/19/2013,CA,78324,software engineer,64988
I-200-14084-989462,3/25/2014,12/3/2014,IL,475000,assistant professor,64991
I-200-14084-004426,3/25/2014,4/2/2014,IL,185000,assistant professor,64994
I-200-15062-635531,3/3/2015,3/9/2015,NJ,78312,software engineer,64997
I-200-13182-072888,7/1/2013,7/8/2013,NY,80000,software engineer,65000
I-200-14232-585445,8/20/2014,8/26/2014,CA,104614,assistant professor,65003
I-200-13122-203376,5/2/2013,5/8/2013,AR,150000,assistant professor,65006
I-200-13136-660855,5/16/2013,5/22/2013,AR,120000,assistant professor,65009
I-200-15076-850170,3/17/2015,3/23/2015,CA,85500,assistant professor,65012
I-200-13038-522943,2/8/2013,2/14/2013,IA,80000,business analyst,65015
I-200-11280-739369,10/10/2011,10/14/2011,MN,78250,software engineer,65018
I-200-13155-170235,6/4/2013,6/10/2013,MA,78249,software engineer,65021
I-200-12310-777261,11/5/2012,11/9/2012,AZ,118000,assistant professor,65024
I-200-12299-829336,10/26/2012,11/1/2012,RI,100000,software engineer,65027
I-200-13091-821218,4/1/2013,7/23/2014,NH,93000,software engineer,65030
I-200-13122-378299,5/2/2013,5/8/2013,RI,88000,software engineer,65033
I-200-13163-284911,6/12/2013,6/18/2013,NH,85000.08,software engineer,65036
I-200-13076-857274,3/17/2013,3/21/2013,RI,80000,software engineer,65039
I-200-13128-406979,5/8/2013,5/14/2013,NH,79000,software engineer,65042
I-200-12289-806953,10/15/2012,10/19/2012,RI,78208,software engineer,65045
I-200-12331-803931,11/26/2012,11/30/2012,RI,78208,software engineer,65048
I-200-13077-870369,3/18/2013,3/22/2013,RI,78208,software engineer,65051
I-200-13077-811822,3/25/2013,3/29/2013,RI,78208,software engineer,65054
I-200-13130-447006,5/17/2013,5/23/2013,RI,78208,software engineer,65057
I-200-15002-141971,1/2/2015,1/8/2015,SD,110000,assistant professor,65060
I-200-14043-894513,2/13/2014,2/21/2014,PA,78201.73,assistant professor,65063
I-200-14191-150728,7/10/2014,7/16/2014,MN,78198,assistant professor,65066
I-200-15044-739403,2/13/2015,2/22/2015,MI,78332.8,business analyst,65069
I-200-15068-387811,3/9/2015,3/13/2015,MI,93600,data analyst,65072
I-200-11284-659674,10/11/2011,10/17/2011,CO,91978,software engineer,65075
I-200-14245-177184,9/2/2014,9/8/2014,MI,79000,business analyst,65078
I-200-14219-436812,8/7/2014,8/13/2014,MI,78332,business analyst,65081
I-200-15045-285478,2/14/2015,2/22/2015,MI,78187,business analyst,65084
A-13267-99777,11/27/2013,5/21/2015,TEXAS,78181,software engineer,65087
I-200-13052-639940,2/26/2013,3/4/2013,OH,115000,software engineer,65090
I-200-13162-670561,6/11/2013,6/17/2013,OH,90000,software engineer,65093
A-13315-13676,11/14/2013,5/11/2015,OHIO,78166,software engineer,65096
I-200-13066-700378,3/7/2013,3/13/2013,KY,78166,software engineer,65099
I-200-13100-954643,5/7/2013,5/13/2013,OH,78166,software engineer,65102
I-200-13072-684051,3/14/2013,3/20/2013,CA,78152,software engineer,65107
I-200-14043-441524,2/12/2014,2/19/2014,PA,78150,software engineer,65110
I-200-14049-934624,2/18/2014,2/24/2014,PA,78150,software engineer,65113
I-200-14065-012852,3/6/2014,3/13/2014,VA,78150,software engineer,65116
I-200-14069-278626,3/10/2014,3/17/2014,PA,78150,software engineer,65119
I-200-14079-644639,3/20/2014,3/31/2014,PA,78150,software engineer,65122
I-200-14092-226283,4/2/2014,4/9/2014,PA,78150,software engineer,65125
I-200-14105-005055,4/15/2014,4/23/2014,VA,78150,software engineer,65128
I-200-14115-122319,4/25/2014,5/1/2014,PA,78150,software engineer,65131
I-200-14129-930339,5/9/2014,5/15/2014,PA,78150,software engineer,65134
I-200-14148-967114,5/28/2014,6/3/2014,PA,78150,software engineer,65137
I-200-14161-263223,6/10/2014,6/16/2014,PA,78150,software engineer,65140
I-200-14213-073490,8/1/2014,8/8/2014,PA,78150,software engineer,65143
A-14145-72283,6/2/2014,1/14/2015,ILLINOIS,78150,software engineer,65146
I-200-13350-794246,12/16/2013,12/23/2013,IL,78146,software engineer,65149
I-200-11346-751346,12/12/2011,4/30/2014,PA,116000,assistant professor,65153
I-200-14035-978865,2/10/2014,2/15/2014,CA,78123,software engineer,65156
I-200-14035-212398,2/18/2014,2/24/2014,CA,78104,software engineer,65159
I-200-14056-527048,2/25/2014,3/3/2014,CA,78104,software engineer,65162
I-200-10234-799212,8/25/2010,3/4/2013,MA,79000,software engineer,65165
I-200-14062-870330,3/4/2014,3/11/2014,AR,184500,assistant professor,65168
I-200-15063-118475,3/5/2015,3/13/2015,NC,110000,assistant professor,65171
I-200-14031-623348,2/4/2014,2/10/2014,DC,124571.2,management consultant,65174
I-200-14279-062479,10/6/2014,10/10/2014,GA,121200,assistant professor,65177
I-200-13081-476759,3/22/2013,3/28/2013,NJ,100000,business analyst,65180
I-200-12346-524650,12/11/2012,7/30/2014,NJ,90000,business analyst,65183
I-200-13309-797625,11/5/2013,11/12/2013,VA,90000,business analyst,65186
I-200-13064-763687,3/5/2013,3/11/2013,NJ,90000,business analyst,65189
I-200-13345-443148,12/11/2013,12/17/2013,VA,87000,business analyst,65192
I-200-13051-053962,2/20/2013,2/26/2013,NJ,85000,business analyst,65195
I-200-14099-075398,4/9/2014,4/15/2014,VA,83000,business analyst,65198
I-200-13260-351600,9/17/2013,9/23/2013,VA,82000,business analyst,65201
I-200-15036-537160,2/5/2015,2/11/2015,CT,81084,business analyst,65204
I-200-14094-225183,4/4/2014,4/10/2014,VA,80000,business analyst,65207
I-200-13015-746400,1/15/2013,1/22/2013,NJ,80000,business analyst,65210
I-200-13176-669219,6/25/2013,7/1/2013,NJ,80000,business analyst,65213
I-200-13308-296060,11/4/2013,1/13/2015,VA,79000,business analyst,65216
I-200-13183-568778,8/14/2013,8/20/2013,MD,79000,business analyst,65219
I-200-13189-856479,7/10/2013,7/16/2013,VA,78100,business analyst,65222
I-200-15037-565389,2/6/2015,2/13/2015,CT,78086,business analyst,65225
I-200-14342-253594,12/8/2014,12/12/2014,CT,78083,business analyst,65228
I-200-14091-057672,4/1/2014,4/9/2014,MD,78083,business analyst,65231
I-200-14344-077851,12/10/2014,12/16/2014,VA,73000,assistant professor,65234
I-200-14058-961343,2/28/2014,3/1/2014,TX,120000,software engineer,65237
I-200-14052-489002,2/25/2014,3/3/2014,TX,90000,software engineer,65240
I-200-13200-278214,7/26/2013,8/1/2013,TX,90000,software engineer,65243
I-200-14104-141485,4/14/2014,4/18/2014,TX,86500,software engineer,65246
I-200-14090-033819,4/1/2014,4/7/2014,TX,85000,software engineer,65249
I-200-14092-970508,4/2/2014,4/9/2014,TX,80000,software engineer,65252
I-200-14128-131844,5/14/2014,5/19/2014,TX,78749,software engineer,65255
I-200-14044-620373,2/13/2014,2/21/2014,TX,78062,software engineer,65258
I-200-13196-112536,7/15/2013,7/19/2013,NY,95880,business analyst,65261
I-200-11290-548661,10/18/2011,10/24/2011,MI,78042,software engineer,65264
I-200-13065-548090,4/3/2013,4/9/2013,IL,78042,business analyst,65267
I-200-12179-781359,6/28/2012,9/26/2013,FL,95000,software engineer,65270
I-200-13294-924878,10/21/2013,11/4/2013,NJ,80000,business analyst,65273
I-200-13135-553034,5/15/2013,5/21/2013,IL,79000,data analyst,65276
I-200-13066-161099,3/7/2013,5/22/2013,IL,79000,business analyst,65279
I-200-11279-871956,10/6/2011,10/13/2011,FL,78000,software engineer,65282
I-200-12354-469008,12/19/2012,12/26/2012,IL,78000,business analyst,65285
I-200-13084-955367,3/25/2013,3/29/2013,IL,78000,business analyst,65288
I-200-13168-361020,6/17/2013,6/21/2013,IL,78000,business analyst,65291
I-200-14126-918067,5/6/2014,5/12/2014,WA,78000,assistant professor,65294
I-200-14167-649889,6/16/2014,6/20/2014,MA,78000,assistant professor,65297
I-200-13065-829753,3/6/2013,3/12/2013,PA,78000,assistant professor,65300
I-200-14163-961850,6/12/2014,6/18/2014,IL,85000,software engineer,65303
I-200-14157-182715,6/9/2014,6/14/2014,TX,81993.6,software engineer,65306
I-200-14035-521783,2/4/2014,12/12/2014,RI,90000,software engineer,65309
I-200-14171-274011,6/24/2014,9/2/2014,TX,90000,software engineer,65312
I-200-14048-080840,2/17/2014,3/6/2014,RI,88000,software engineer,65315
I-200-14122-540610,5/2/2014,5/8/2014,TX,85000,software engineer,65318
I-200-14149-982123,6/18/2014,6/24/2014,RI,82240,software engineer,65321
I-200-13316-550954,11/12/2013,11/18/2013,TX,80000,software engineer,65324
I-200-13309-718456,11/6/2013,11/13/2013,TX,79029,software engineer,65327
A-14184-85062,7/23/2014,12/18/2014,TEXAS,77958,software engineer,65330
I-200-14083-468587,3/25/2014,3/31/2014,TX,77958,software engineer,65333
I-200-14092-674792,4/2/2014,4/9/2014,RI,77958,software engineer,65336
I-200-13212-777033,7/31/2013,8/6/2013,TX,77958,software engineer,65339
I-200-12271-961156,9/27/2012,10/3/2012,CA,92000,software engineer,65342
I-200-13190-991268,7/9/2013,7/15/2013,TX,90000,software engineer,65345
I-200-13078-287034,3/19/2013,9/12/2014,IA,80500,software engineer,65348
I-200-13144-695038,5/24/2013,5/31/2013,CA,80000,software engineer,65351
A-13109-57519,7/12/2013,2/13/2015,CALIFORNIA,77938,software engineer,65354
I-200-13133-363617,5/13/2013,5/17/2013,CA,77938,software engineer,65357
I-200-13101-432849,4/18/2013,4/24/2013,CA,87110.4,software engineer,65360
I-200-13246-219696,9/3/2013,9/10/2013,DC,79040,business analyst,65363
I-200-14143-969891,5/23/2014,5/30/2014,MA,95000,software engineer,65366
I-200-14337-711874,1/29/2015,2/4/2015,MO,87000,assistant professor,65369
I-200-14190-526463,7/9/2014,7/15/2014,MO,77965,assistant professor,65372
I-200-15029-368092,1/29/2015,2/4/2015,CA,150000,software engineer,65375
I-200-14119-739039,4/29/2014,5/5/2014,OH,100000,data analyst,65378
I-200-14101-114804,4/11/2014,4/17/2014,OH,87822,business analyst,65381
I-200-13330-012035,11/26/2013,12/3/2013,OH,85000,business analyst,65384
I-200-14169-829176,6/18/2014,6/24/2014,OH,85000,business analyst,65387
I-200-13343-359130,12/9/2013,12/13/2013,OH,83210.61,software engineer,65390
I-200-14176-901021,6/26/2014,7/2/2014,OH,83000,business analyst,65393
I-200-13228-968270,8/16/2013,8/22/2013,OH,82000,business analyst,65396
I-200-13312-701285,11/8/2013,11/15/2013,OH,80000,business analyst,65399
I-200-14129-816135,5/15/2014,5/21/2014,OH,80000,business analyst,65402
I-200-13319-585344,11/15/2013,11/21/2013,SC,77917,software engineer,65405
I-200-12145-132040,5/24/2012,12/3/2013,MA,78000,software engineer,65408
I-200-13023-722608,2/14/2013,10/29/2013,CA,77902,software engineer,65411
I-200-13239-721665,8/27/2013,9/3/2013,IN,84979.5,software engineer,65414
I-200-13323-245457,11/19/2013,11/25/2013,VA,90000,data scientist,65417
I-200-14065-586016,3/6/2014,3/12/2014,VA,77896,data scientist,65420
I-200-13205-389629,7/24/2013,7/30/2013,TX,114400,software engineer,65446
I-200-13305-801306,11/1/2013,11/7/2013,TX,170000,management consultant,65449
I-200-13190-873905,7/9/2013,7/15/2013,TX,100000,software engineer,65452
I-200-14175-454739,6/24/2014,6/30/2014,TX,97000,software engineer,65455
I-200-14045-639871,2/14/2014,2/21/2014,TX,90000,software engineer,65458
I-200-14195-690932,7/14/2014,7/18/2014,TX,88998.08,software engineer,65461
I-200-13225-711305,8/13/2013,8/20/2013,TX,87980,software engineer,65464
I-200-14167-350878,6/19/2014,6/25/2014,TX,87242.59,software engineer,65467
I-200-14066-728273,3/12/2014,1/20/2015,TX,85020,software engineer,65470
I-200-14134-921902,5/14/2014,5/20/2014,TX,84000,software engineer,65473
I-200-13095-358221,5/20/2014,5/27/2014,TX,82000,software engineer,65476
I-200-14013-129909,1/14/2014,1/21/2014,TX,80000,software engineer,65479
I-200-14064-411957,3/5/2014,3/11/2014,TX,80000,software engineer,65482
I-200-14071-314944,3/13/2014,3/19/2014,TX,80000,software engineer,65485
I-200-14106-070624,4/16/2014,4/25/2014,TX,80000,software engineer,65488
I-200-13217-513306,8/5/2013,8/9/2013,TX,80000,software engineer,65491
I-200-14066-717495,3/12/2014,3/18/2014,TX,79500,software engineer,65494
I-200-14065-245578,3/6/2014,3/12/2014,TX,78750,software engineer,65497
A-14203-91334,8/4/2014,1/22/2015,TEXAS,78000,software engineer,65500
I-200-14034-862728,2/3/2014,2/7/2014,TX,78000,software engineer,65503
I-200-14118-634566,4/28/2014,5/2/2014,TX,78000,software engineer,65506
I-200-13204-170363,7/24/2013,7/30/2013,TX,78000,software engineer,65509
I-200-13249-431693,9/8/2013,9/12/2013,TX,77900,software engineer,65512
A-14070-51358,5/22/2014,10/2/2014,TEXAS,77875,software engineer,65515
A-14120-64874,5/1/2014,10/20/2014,TEXAS,77875,software engineer,65518
A-14134-69465,7/30/2014,1/29/2015,TEXAS,77875,software engineer,65521
A-14147-72518,6/20/2014,12/16/2014,TEXAS,77875,software engineer,65524
A-14156-75393,6/5/2014,11/13/2014,TEXAS,77875,software engineer,65527
A-14164-78015,6/26/2014,11/17/2014,TEXAS,77875,software engineer,65530
A-14175-81431,8/25/2014,1/9/2015,TEXAS,77875,software engineer,65533
A-14188-85519,8/27/2014,1/9/2015,TEXAS,77875,software engineer,65536
A-14198-89939,9/22/2014,2/10/2015,TEXAS,77875,software engineer,65539
A-14220-96499,9/22/2014,2/24/2015,TEXAS,77875,software engineer,65542
A-14310-23259,11/24/2014,5/6/2015,TEXAS,77875,software engineer,65545
I-200-13350-399534,12/16/2013,12/20/2013,TX,77875,software engineer,65548
I-200-14092-843008,4/2/2014,4/9/2014,TX,77875,software engineer,65551
I-200-14142-947265,5/22/2014,5/29/2014,TX,77875,software engineer,65554
I-200-14053-589231,3/11/2014,3/18/2014,TX,77500,software engineer,65557
I-200-11281-125246,10/18/2011,10/24/2011,MD,107348,software engineer,65562
I-200-14157-947827,6/6/2014,6/12/2014,LA,85000,assistant professor,65565
I-200-11103-956353,4/13/2011,5/9/2013,MA,77854,software engineer,65568
I-200-13338-273383,12/4/2013,12/10/2013,WA,77853,software engineer,65571
I-200-13150-931048,5/30/2013,6/5/2013,OH,77850,assistant professor,65574
I-200-11287-902467,10/14/2011,10/20/2011,CA,103525,assistant professor,65577
I-200-13303-732066,10/30/2013,11/5/2013,MD,107307,business analyst,65580
I-200-13128-647792,5/9/2013,5/15/2013,MO,93000,business analyst,65583
I-200-10315-627523,11/12/2010,5/9/2013,GA,91500,software engineer,65586
I-200-11273-962341,9/30/2011,3/6/2013,CA,90000,data analyst,65589
I-200-11320-503657,11/16/2011,11/22/2011,CA,85500,business analyst,65592
I-200-13294-581088,10/21/2013,10/26/2013,IL,83505,software engineer,65595
I-200-11130-555136,5/10/2011,9/20/2013,GA,80360,software engineer,65598
I-200-12110-694085,4/19/2012,4/5/2013,CA,80000,data scientist,65601
I-200-14168-024645,6/17/2014,6/23/2014,IL,78000,software engineer,65604
I-200-14015-983849,1/16/2014,1/23/2014,IL,77843,software engineer,65607
A-14335-29659,12/2/2014,6/22/2015,ILLINOIS,77836,software engineer,65610
A-14346-34109,12/13/2014,6/29/2015,ILLINOIS,77836,software engineer,65613
I-200-13354-158134,12/20/2013,12/27/2013,IL,77834,software engineer,65616
I-200-14015-835460,1/23/2014,1/30/2014,IL,77834,software engineer,65619
I-200-14016-587421,1/22/2014,1/24/2014,IL,77834,software engineer,65622
I-200-14017-354178,1/22/2014,1/24/2014,IL,77834,software engineer,65625
I-200-14023-536286,1/28/2014,2/4/2014,IL,77834,software engineer,65628
I-200-14023-782828,1/28/2014,2/4/2014,IL,77834,software engineer,65631
I-200-14030-203377,2/1/2014,2/7/2014,IL,77834,software engineer,65634
I-200-14039-923569,2/11/2014,2/18/2014,IL,77834,software engineer,65637
I-200-14120-088638,5/1/2014,5/7/2014,IL,77834,software engineer,65640
I-200-14161-395316,6/16/2014,6/20/2014,IL,77834,software engineer,65643
I-200-13221-733438,8/20/2013,8/26/2013,IL,77834,software engineer,65646
I-200-14072-065905,3/13/2014,3/19/2014,MD,77834,business analyst,65649
I-200-13249-421260,9/6/2013,9/6/2013,IL,89440,software engineer,65652
I-200-13221-491528,8/9/2013,8/16/2013,MD,83200,business analyst,65655
A-14275-12382,11/24/2014,5/7/2015,PENNSYLVANIA,77820.27,assistant professor,65658
I-200-14150-485995,5/30/2014,6/5/2014,CO,77812.8,software engineer,65661
I-200-13346-204212,12/12/2013,12/18/2013,VA,88000,assistant professor,65664
I-200-13256-237372,9/13/2013,9/23/2013,CA,77810,software engineer,65667
I-200-14085-391961,3/26/2014,4/3/2014,CA,79996.8,software engineer,65670
I-200-13031-681107,2/6/2013,3/14/2014,WA,77792,software engineer,65673
I-200-14099-332406,4/9/2014,4/15/2014,NY,96000,assistant professor,65676
I-200-15012-219854,1/12/2015,1/17/2015,NY,205870,assistant professor,65681
I-200-15077-032469,3/18/2015,3/24/2015,NY,129836,assistant professor,65684
I-200-11315-357707,11/11/2011,11/11/2011,MN,125008,business analyst,65687
I-200-14132-046476,5/12/2014,5/16/2014,IL,100006.4,business analyst,65690
I-200-14071-628647,3/12/2014,3/18/2014,IL,95000,business analyst,65693
I-200-15076-896134,3/20/2015,3/31/2015,CO,90000,business analyst,65696
I-200-13211-195888,8/8/2013,8/14/2013,IL,90000,business analyst,65699
I-200-12271-714186,9/27/2012,10/3/2012,MN,86000,software engineer,65702
I-200-13231-473547,8/20/2013,8/27/2013,IL,80300,business analyst,65705
I-200-11287-768267,10/14/2011,10/20/2011,MN,80000,software engineer,65708
I-200-14065-841515,3/6/2014,3/13/2014,FL,80000,business analyst,65711
I-200-10176-650114,6/25/2010,10/7/2011,LA,80000,business analyst,65714
I-200-11237-867473,8/25/2011,1/30/2014,MN,78000,software engineer,65717
I-200-11291-585440,10/18/2011,10/24/2011,MN,78000,software engineer,65720
I-200-14027-260460,1/27/2014,2/3/2014,IL,78000,business analyst,65723
I-200-15082-113274,3/23/2015,3/27/2015,CO,77800,business analyst,65726
I-200-14032-782535,2/6/2014,2/12/2014,IL,77800,business analyst,65729
I-200-14064-436604,3/7/2014,3/13/2014,IL,77800,business analyst,65732
I-200-14316-343628,11/12/2014,11/18/2014,CO,77771,software engineer,65735
I-200-11271-730454,9/28/2011,10/4/2011,MN,77771,software engineer,65738
I-200-11286-539881,10/17/2011,10/21/2011,MN,77771,software engineer,65741
I-200-11325-555525,11/21/2011,11/28/2011,MN,77771,software engineer,65744
I-200-15068-170089,3/9/2015,3/13/2015,CO,77771,business analyst,65747
I-200-14059-213891,2/28/2014,3/6/2014,IL,77771,business analyst,65750
I-200-14118-319520,4/28/2014,5/2/2014,IL,77771,business analyst,65753
I-200-14177-409982,6/26/2014,7/2/2014,IL,77771,business analyst,65756
I-200-14073-659215,3/18/2014,6/9/2014,CA,78000,software engineer,65766
I-200-12299-965497,10/25/2012,10/31/2012,MN,100000,business analyst,65769
I-200-14164-533172,6/13/2014,6/20/2014,CA,82401.07,software engineer,65772
I-200-12361-844594,12/26/2012,1/2/2013,MN,80000,business analyst,65775
I-200-14069-726648,3/10/2014,3/11/2014,CA,77750,software engineer,65778
I-200-12298-116719,10/26/2012,11/1/2012,MN,77750,business analyst,65781
I-203-13193-027345,7/12/2013,7/18/2013,IL,100000,business analyst,65785
I-200-13191-637214,7/11/2013,7/17/2013,AL,90010,software engineer,65788
I-200-13066-346260,3/7/2013,3/13/2013,NV,84975,software engineer,65791
I-200-13163-680968,6/13/2013,6/19/2013,NV,80000,software engineer,65794
I-200-14121-956566,5/1/2014,5/7/2014,IL,77730,software engineer,65797
I-200-14057-801810,3/2/2014,3/6/2014,MA,112000,software engineer,65800
I-200-12159-062315,6/7/2012,1/28/2013,CA,85000,business analyst,65803
I-200-13217-006440,1/31/2014,2/7/2014,NY,84000,business analyst,65806
I-200-13315-131816,11/11/2013,5/29/2014,MA,83460,software engineer,65809
I-200-13322-872642,11/18/2013,11/22/2013,NY,80000,software engineer,65812
I-200-13343-697494,12/11/2013,12/17/2013,MA,78225.12,software engineer,65815
I-200-13346-036523,12/12/2013,12/16/2013,MA,77709,software engineer,65818
I-200-13353-680299,12/19/2013,12/26/2013,MA,77709,software engineer,65821
I-200-14041-062697,2/13/2014,2/21/2014,MA,77709,software engineer,65824
I-200-14071-142775,3/12/2014,3/18/2014,MA,77709,software engineer,65827
I-200-11315-670213,11/14/2011,11/18/2011,CA,77709,software engineer,65830
I-203-13080-228440,5/9/2013,5/15/2013,NY,77709,management consultant,65833
I-200-14176-766920,6/25/2014,7/1/2014,CT,77709,business analyst,65836
I-200-11298-602784,11/1/2011,11/7/2011,MD,80000,software engineer,65839
I-200-13263-859239,9/20/2013,10/17/2013,NY,176800,software engineer,65843
I-200-14064-467670,3/6/2014,3/12/2014,NY,120000,software engineer,65846
I-200-14083-689344,3/24/2014,3/28/2014,NY,115000,software engineer,65849
I-200-14069-784927,3/10/2014,3/14/2014,NY,96000,software engineer,65852
I-200-13325-335722,2/19/2014,2/25/2014,NY,90737,software engineer,65855
I-200-14065-058675,3/7/2014,3/13/2014,NY,90000,software engineer,65858
I-200-14077-712639,3/19/2014,3/25/2014,NY,90000,software engineer,65861
I-200-13231-806807,8/26/2013,8/30/2013,NY,90000,software engineer,65864
I-200-13352-514167,12/19/2013,12/26/2013,NY,88760,software engineer,65867
I-200-14121-442047,5/1/2014,5/7/2014,NY,87360,software engineer,65870
I-200-14069-038517,3/10/2014,3/14/2014,NY,85000,software engineer,65873
I-200-14170-967493,6/19/2014,6/25/2014,NY,85000,software engineer,65876
I-200-14057-633702,3/14/2014,3/20/2014,NY,80000,software engineer,65879
I-200-14065-790669,3/7/2014,3/13/2014,NY,80000,software engineer,65882
I-200-13196-714119,7/15/2013,7/19/2013,NY,80000,software engineer,65885
I-200-15044-726099,2/13/2015,2/22/2015,PA,77797,business analyst,65888
I-200-14357-797287,12/24/2014,12/31/2014,PA,77700,business analyst,65891
A-14104-60476,5/1/2014,10/15/2014,NEW YORK,77688,software engineer,65894
I-200-13211-707952,7/30/2013,8/5/2013,NY,77688,software engineer,65897
I-200-15013-440018,1/16/2015,1/23/2015,PA,77688,business analyst,65900
I-200-14355-741472,12/22/2014,12/30/2014,IL,75691,software engineer,65903
I-200-13316-303113,11/12/2013,11/18/2013,OH,77667,software engineer,65906
I-200-14051-527068,2/20/2014,2/26/2014,OH,77667,software engineer,65909
I-200-13235-865344,8/23/2013,8/29/2013,MA,85900,data analyst,65912
I-200-13294-384843,10/21/2013,11/4/2013,CA,99180,software engineer,65915
I-200-14120-203138,4/30/2014,5/6/2014,OH,95000,software engineer,65918
I-200-13296-629245,10/23/2013,11/1/2013,CA,90000,software engineer,65921
I-200-13257-607872,9/14/2013,9/19/2013,CA,89502,software engineer,65924
I-200-13318-144364,11/14/2013,11/20/2013,CA,87547,software engineer,65927
I-200-14143-517775,5/23/2014,5/30/2014,CA,85000,software engineer,65930
I-200-14119-548029,4/29/2014,5/5/2014,CA,84984,software engineer,65933
I-200-14091-558854,4/1/2014,4/29/2014,CA,82000,software engineer,65936
I-200-13304-598288,10/31/2013,11/6/2013,CA,78000,software engineer,65939
I-200-13255-127167,9/12/2013,9/19/2013,CA,78000,software engineer,65942
I-200-14171-501352,6/22/2014,6/26/2014,CA,77646,software engineer,65945
I-200-13114-665004,4/25/2013,5/1/2013,CA,77645,software engineer,65948
A-14223-97041,9/10/2014,2/3/2015,NEW YORK,130000,business analyst,65952
I-200-12137-282476,7/30/2013,8/5/2013,NY,120000,software engineer,65955
I-200-14128-433721,5/9/2014,5/28/2014,NY,115000,business analyst,65958
A-14216-94966,8/7/2014,1/12/2015,NEW YORK,110000,business analyst,65961
I-200-14120-565211,4/30/2014,5/6/2014,NY,106000,business analyst,65964
I-200-14128-415741,5/8/2014,5/14/2014,WI,104000,software engineer,65967
I-200-14056-731444,2/25/2014,4/7/2014,NY,103000,business analyst,65970
I-200-14141-197535,5/21/2014,5/28/2014,NJ,100000,business analyst,65973
I-200-14021-033249,1/21/2014,9/11/2014,NJ,99500,business analyst,65976
A-14127-67269,6/26/2014,11/14/2014,NEW YORK,95000,business analyst,65979
I-200-13241-691348,8/30/2013,9/6/2013,NJ,95000,business analyst,65982
I-200-14105-747714,4/29/2014,5/5/2014,NY,92800,business analyst,65985
I-200-14098-952547,4/8/2014,4/14/2014,NJ,92000,business analyst,65988
I-200-14070-128848,3/11/2014,3/17/2014,NJ,90000,business analyst,65991
I-200-13309-527634,11/5/2013,11/12/2013,NY,89388,business analyst,65994
I-200-13353-791813,12/19/2013,12/27/2013,NY,89000,business analyst,65997
I-200-13168-178545,7/9/2013,7/15/2013,NY,85000,data analyst,66000
I-200-14169-200186,6/18/2014,6/24/2014,NY,85000,business analyst,66003
I-200-13224-751994,8/12/2013,8/12/2013,NJ,85000,business analyst,66006
I-200-14100-060777,4/10/2014,4/16/2014,NY,84000,data analyst,66009
I-200-14041-478515,2/10/2014,2/15/2014,NY,83000,business analyst,66012
A-14203-91170,11/14/2014,4/20/2015,NEW JERSEY,80173,business analyst,66015
I-200-13323-346700,11/20/2013,11/26/2013,NY,80000,data analyst,66018
I-200-13270-710499,9/27/2013,11/1/2013,NJ,80000,business analyst,66021
I-200-13309-468912,11/5/2013,11/12/2013,NJ,80000,business analyst,66024
I-200-14024-506016,1/24/2014,1/29/2014,NY,80000,business analyst,66027
I-200-14050-606286,2/19/2014,2/25/2014,NY,80000,business analyst,66030
I-200-14078-702323,3/20/2014,3/26/2014,NY,80000,business analyst,66033
I-200-14134-237553,5/14/2014,5/20/2014,NY,80000,business analyst,66036
I-200-14044-207216,2/20/2014,2/26/2014,WI,78000,software engineer,66039
